[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:192.168.206.2 | Protocol:17
[2025-07-26 12:11:49] Src: 192.168.206.2 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:49] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:49] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:192.168.206.2 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:192.168.206.2 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.2 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.2 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
